commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ६०.००,रू ७०.००,रू ६५.००
गोलभेडा सानो(लोकल),के.जी.,रू २६.००,रू ३४.००,रू ३०.००
गोलभेडा सानो(भारतीय),के जी,रू ३५.००,रू ४५.००,रू ४०.००
गोलभेडा सानो(तराई),के जी,रू ३५.००,रू ४५.००,रू ४१.००
आलु रातो(लाम्चो),के.जी.,रू २२.००,रू २६.००,रू २४.००
आलु रातो(भारतीय),के जी,रू २३.००,रू २५.००,रू २४.००
प्याज सुकेको (भारतीय),के.जी.,रू ३६.००,रू ३८.००,रू ३७.००
गाजर(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
गाजर(तराई),केजी,रू २५.००,रू ४०.००,रू ३३.७५
बन्दा(लोकल),के.जी.,रू ३०.००,रू ४०.००,रू ३६.००
बन्दा(तराई),केजी,रू २५.००,रू ३५.००,रू ३०.५०
बन्दा(नरिवल),केजी,रू २०.००,रू ३५.००,रू २६.६७
काउली स्थानिय,के.जी.,रू २०.००,रू ३०.००,रू २५.००
स्थानीय काउली(ज्यापु),केजी,रू ३५.००,रू ४५.००,रू ४०.००
काउली तराई,के.जी.,रू २५.००,रू ३५.००,रू २९.२५
मूला रातो,के.जी.,रू २५.००,रू ३५.००,रू ३०.००
मूला सेतो(लोकल),के.जी.,रू १०.००,रू १५.००,रू १२.५०
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २०.००,रू १७.५०
भन्टा लाम्चो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
मटरकोशा,के.जी.,रू ३५.००,रू ५०.००,रू ४३.७५
घिउ सिमी(लोकल),के.जी.,रू ६०.००,रू ८०.००,रू ७०.००
घिउ सिमी(हाइब्रीड),केजी,रू ५०.००,रू ७०.००,रू ६२.५०
घिउ सिमी(राजमा),केजी,रू ८०.००,रू १००.००,रू ८७.५०
टाटे सिमी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
तितो करेला,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००
लौका,के.जी.,रू ६०.००,रू ७५.००,रू ६७.५०
घिरौला,के.जी.,रू १३०.००,रू १४०.००,रू १३५.००
फर्सी पाकेको,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
फर्सी हरियो(लाम्चो),के.जी.,रू १५.००,रू २५.००,रू १९.००
हरियो फर्सी(डल्लो),केजी,रू १५.००,रू २५.००,रू १९.००
सलगम,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
भिण्डी,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
बरेला,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
पिंडालू,के.जी.,रू ५५.००,रू ६५.००,रू ६०.००
स्कूस,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
रायो साग,के.जी.,रू १५.००,रू २५.००,रू १९.७५
पालूगो साग,के.जी.,रू २०.००,रू ३५.००,रू २७.५०
चमसूरको साग,के.जी.,रू २०.००,रू ३०.००,रू २५.००
तोरीको साग,के.जी.,रू १५.००,रू २५.००,रू २०.००
मेथीको साग,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
प्याज हरियो,के.जी.,रू ३०.००,रू ५०.००,रू ४०.००
बकूला,के.जी.,रू ३५.००,रू ५०.००,रू ४३.३३
तरुल,के.जी.,रू ६०.००,रू ८०.००,रू ७०.००
च्याउ(कन्य),के.जी.,रू ११०.००,रू १३०.००,रू १२०.००
च्याउ(डल्ले),के जी,रू ३५०.००,रू ४००.००,रू ३७५.००
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
ब्रोकाउली,के.जी.,रू २०.००,रू ४०.००,रू ३०.००
चुकुन्दर,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
सजिवन,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००
रातो बन्दा,के.जी.,रू ६०.००,रू ८०.००,रू ७०.००
जिरीको साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
ग्याठ कोबी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
सेलरी,के.जी.,रू १५०.००,रू १८०.००,रू १६५.००
पार्सले,के.जी.,रू ३५०.००,रू ४००.००,रू ३७५.००
सौफको साग,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
पुदीना,के.जी.,रू ३००.००,रू ३५०.००,रू ३२५.००
गान्टे मूला,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
इमली,के.जी.,रू १७०.००,रू १८०.००,रू १७५.००
तामा,के.जी.,रू ११०.००,रू १३०.००,रू १२०.००
तोफु,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
गुन्दुक,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
रुख टमाटर,केजी,रू २६०.००,रू २८०.००,रू २७०.००
स्याउ(झोले),के.जी.,रू २००.००,रू २५०.००,रू २२५.००
स्याउ(फूजी),के जी,रू २५०.००,रू ३००.००,रू २७५.००
केरा(नेपाली),दर्जन,रू १७०.००,रू १९०.००,रू १८०.००
कागती,के.जी.,रू २२०.००,रू २५०.००,रू २३५.००
अनार,के.जी.,रू ३००.००,रू ३३०.००,रू ३१५.००
अंगुर(हरियो),के.जी.,रू २४०.००,रू २६०.००,रू २५०.००
अंगुर(कालो),केजी,रू ३५०.००,रू ४००.००,रू ३७५.००
सुन्तला(भारतीय),केजी,रू १५०.००,रू १७०.००,रू १६०.००
तरबुजा(हरियो),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
मौसम,के.जी.,रू १००.००,रू १३०.००,रू ११५.००
जुनार,के.जी.,रू १००.००,रू १३०.००,रू ११५.००
भुई कटहर,प्रति गोटा,रू १३५.००,रू १४५.००,रू १४०.००
काक्रो(लोकल),के.जी.,रू १००.००,रू १३०.००,रू ११५.००
काक्रो(हाइब्रीड),के जी,रू ६०.००,रू ७०.००,रू ६५.००
काक्रो(लोकलक्रस),के.जी.,रू ८०.००,रू १००.००,रू ९०.००
रुख कटहर,के.जी.,रू १००.००,रू ११०.००,रू १०५.००
निबुवा,के.जी.,रू ५५.००,रू ६५.००,रू ६०.००
नासपाती(चाइनिज),केजी,रू २२०.००,रू २५०.००,रू २३५.००
मेवा(नेपाली),के.जी.,रू ५०.००,रू ७०.००,रू ६०.००
मेवा(भारतीय),केजी,रू ९०.००,रू ११०.००,रू १००.००
लप्सी,के.जी.,रू १७०.००,रू १८०.००,रू १७५.००
किनु,के.जी.,रू ११०.००,रू १३०.००,रू १२०.००
स्ट्रबेरी भुईऐसेलु,के.जी.,रू ४००.००,रू ५००.००,रू ४५०.००
किवि,केजी,रू २३०.००,रू २६०.००,रू २४५.००
आभोकाडो,के.जी,रू २५०.००,रू ३५०.००,रू ३००.००
अमला,के.जी,रू ९०.००,रू १००.००,रू ९५.००
अदुवा,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
खु्र्सानी सुकेको,के.जी.,रू ३८०.००,रू ४३०.००,रू ४०५.००
खुर्सानी हरियो(लाम्चो),के जी,रू १५०.००,रू १८०.००,रू १६५.००
खुर्सानी हरियो(बुलेट),के जी,रू १५०.००,रू १७०.००,रू १५७.५०
खुर्सानी हरियो(माछे),के जी,रू ६०.००,रू ७०.००,रू ६५.००
खुर्सानी हरियो(अकबरे),के जी,रू ८००.००,रू ९००.००,रू ८५०.००
भेडे खु्र्सानी,के.जी.,रू ७०.००,रू ९०.००,रू ८१.६७
लसुन हरियो,के.जी.,रू ३०.००,रू ५०.००,रू ४०.००
हरियो धनिया,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
लसुन सुकेको चाइनिज,के.जी.,रू २२०.००,रू २६०.००,रू २४०.००
लसुन सुकेको नेपाली,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
छ्यापी सुकेको,के.जी.,रू १००.००,रू १५०.००,रू १२५.००
छ्यापी हरियो,के.जी.,रू ८०.००,रू १२०.००,रू १००.००
माछा सुकेको,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
ताजा माछा(रहु),के जी,रू ३२०.००,रू ३४०.००,रू ३३०.००
ताजा माछा(बचुवा),के जी,रू २६०.००,रू २८०.००,रू २७०.००
