commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ७०.००,रू ८०.००,रू ७५.००
गोलभेडा सानो(लोकल),के.जी.,रू ३५.००,रू ४०.००,रू ३७.५०
गोलभेडा सानो(भारतीय),के जी,रू ४०.००,रू ४८.००,रू ४४.००
गोलभेडा सानो(तराई),के जी,रू ४०.००,रू ५५.००,रू ४९.००
आलु रातो(लाम्चो),के.जी.,रू २२.००,रू २७.००,रू २४.७१
आलु रातो(भारतीय),के जी,रू २३.००,रू २४.००,रू २३.५०
प्याज सुकेको (भारतीय),के.जी.,रू ३४.००,रू ३६.००,रू ३५.००
गाजर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
गाजर(तराई),केजी,रू २०.००,रू ३०.००,रू २६.२५
बन्दा(लोकल),के.जी.,रू ३५.००,रू ५०.००,रू ४०.००
काउली स्थानिय,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
स्थानीय काउली(ज्यापु),केजी,रू ४०.००,रू ६०.००,रू ५०.००
मूला सेतो(लोकल),के.जी.,रू १०.००,रू २०.००,रू १५.००
सेतो मूला(हाइब्रीड),केजी,रू २०.००,रू ३०.००,रू २५.००
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ५५.००,रू ४७.५०
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बोडी(तने),के.जी.,रू ३०.००,रू ५०.००,रू ४२.५०
मटरकोशा,के.जी.,रू ५०.००,रू ७०.००,रू ६०.००
घिउ सिमी(लोकल),के.जी.,रू १५.००,रू २५.००,रू १९.१७
घिउ सिमी(हाइब्रीड),केजी,रू ३०.००,रू ४०.००,रू ३५.००
घिउ सिमी(राजमा),केजी,रू १००.००,रू १२०.००,रू ११०.००
टाटे सिमी,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
भटमासकोशा,के.जी.,रू १६०.००,रू २००.००,रू १८०.००
तितो करेला,के.जी.,रू २५.००,रू ४०.००,रू ३२.५०
लौका,के.जी.,रू १०.००,रू २०.००,रू १३.७५
परवर(लोकल),के.जी.,रू ९०.००,रू १००.००,रू ९५.००
परवर(तराई),केजी,रू ७०.००,रू ९०.००,रू ८०.००
चिचिण्डो,के.जी.,रू १५.००,रू ४५.००,रू ३१.६७
घिरौला,के.जी.,रू १५.००,रू ३५.००,रू २३.००
फर्सी पाकेको,के.जी.,रू ५५.००,रू ६०.००,रू ५७.५०
फर्सी हरियो(लाम्चो),के.जी.,रू २०.००,रू ३०.००,रू २३.७५
हरियो फर्सी(डल्लो),केजी,रू १५.००,रू २०.००,रू १७.५०
भिण्डी,के.जी.,रू ३५.००,रू ५०.००,रू ४१.२५
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
बरेला,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
पिंडालू,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
स्कूस,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
रायो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५३.३३
पालूगो साग,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
चमसूरको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
तोरीको साग,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
मेथीको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
प्याज हरियो,के.जी.,रू ६०.००,रू ८०.००,रू ७४.००
बकूला,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
च्याउ(कन्य),के.जी.,रू १४०.००,रू १६०.००,रू १५०.००
च्याउ(डल्ले),के जी,रू ३००.००,रू ३५०.००,रू ३२५.००
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
कुरीलो,के.जी.,रू ३५०.००,रू ४५०.००,रू ४००.००
न्यूरो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
ब्रोकाउली,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
कोइरालो,के.जी.,रू २९०.००,रू ३००.००,रू २९५.००
रातो बन्दा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
जिरीको साग,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
ग्याठ कोबी,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
सेलरी,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००
पार्सले,के.जी.,रू १७०.००,रू १९०.००,रू १८०.००
सौफको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
पुदीना,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
इमली,के.जी.,रू १७०.००,रू १८०.००,रू १७५.००
तामा,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
तोफु,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
गुन्दुक,के.जी.,रू २२०.००,रू २५०.००,रू २३५.००
स्याउ(झोले),के.जी.,रू २२०.००,रू २५०.००,रू २३५.००
स्याउ(फूजी),के जी,रू २५०.००,रू ३००.००,रू २७५.००
केरा(नेपाली),दर्जन,रू २५०.००,रू ३००.००,रू २७५.००
कागती,के.जी.,रू ३७०.००,रू ३९०.००,रू ३७७.५०
अनार,के.जी.,रू ३२०.००,रू ३५०.००,रू ३३५.००
अंगुर(हरियो),के.जी.,रू २२०.००,रू २४०.००,रू २३०.००
अंगुर(कालो),केजी,रू ३६०.००,रू ३८०.००,रू ३७०.००
तरबुजा(हरियो),के.जी.,रू ३५.००,रू ४५.००,रू ४०.५०
भुई कटहर,प्रति गोटा,रू २३०.००,रू २४०.००,रू २३५.००
काक्रो(लोकल),के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
काक्रो(हाइब्रीड),के जी,रू १०.००,रू १५.००,रू १२.५०
काक्रो(लोकलक्रस),के.जी.,रू २०.००,रू ४०.००,रू ३०.००
