commodity,unit,min,max,avg
गोलभेडा ठूलो(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
गोलभेडा सानो(लोकल),के.जी.,रू १०.००,रू २१.००,रू १५.६७
गोलभेडा सानो(टनेल),के जी,रू २५.००,रू ३५.००,रू ३०.४४
आलु रातो(लाम्चो),के.जी.,रू ३८.००,रू ४२.००,रू ४०.२५
रातो आलु(गोलो),के जी,रू ३८.००,रू ४०.००,रू ३९.००
आलु रातो(मुडे),केजी,रू ३८.००,रू ४२.००,रू ४०.००
आलु रातो(भारतीय),के जी,रू २८.००,रू ३०.००,रू २९.००
आलु सेतो,के.जी.,रू ३०.००,रू ३२.००,रू ३१.००
प्याज सुकेको (भारतीय),के.जी.,रू ५२.००,रू ५५.००,रू ५३.५०
गाजर(लोकल),के.जी.,रू ९०.००,रू १००.००,रू ९५.००
गाजर(तराई),केजी,रू ८०.००,रू ९०.००,रू ८५.००
बन्दा(लोकल),के.जी.,रू ४५.००,रू ५५.००,रू ४८.७५
काउली स्थानिय,के.जी.,रू ३०.००,रू ४०.००,रू ३५.८३
मूला रातो,के.जी.,रू ३०.००,रू ३५.००,रू ३१.७५
सेतो मूला(हाइब्रीड),केजी,रू २०.००,रू २५.००,रू २२.५०
भन्टा लाम्चो,के.जी.,रू १०.००,रू २०.००,रू १५.००
भन्टा डल्लो,के.जी.,रू २५.००,रू ३५.००,रू ३०.००
बोडी(तने),के.जी.,रू २०.००,रू ३०.००,रू २३.३३
मकै बोडी,केजी,रू २५.००,रू ३५.००,रू २८.७५
मटरकोशा,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
घिउ सिमी(लोकल),के.जी.,रू ३५.००,रू ५५.००,रू ४५.००
घिउ सिमी(हाइब्रीड),केजी,रू ३५.००,रू ४५.००,रू ४०.००
घिउ सिमी(राजमा),केजी,रू ८०.००,रू ९०.००,रू ८५.००
टाटे सिमी,के.जी.,रू ३५.००,रू ५०.००,रू ४२.५०
भटमासकोशा,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
तितो करेला,के.जी.,रू १५.००,रू २०.००,रू १७.५०
लौका,के.जी.,रू २५.००,रू ३०.००,रू २७.५०
परवर(लोकल),के.जी.,रू ३०.००,रू ३५.००,रू ३२.५०
परवर(तराई),केजी,रू ३०.००,रू ४०.००,रू ३५.००
चिचिण्डो,के.जी.,रू १५.००,रू २५.००,रू १८.३३
घिरौला,के.जी.,रू २०.००,रू ३०.००,रू २३.३३
झिगूनी,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
फर्सी हरियो(लाम्चो),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
हरियो फर्सी(डल्लो),केजी,रू १५.००,रू २०.००,रू १७.५०
भिण्डी,के.जी.,रू २०.००,रू ३०.००,रू २५.००
सखरखण्ड,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
पिंडालू,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
स्कूस,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
रायो साग,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
पालूगो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
चमसूरको साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
प्याज हरियो,के.जी.,रू ६०.००,रू १००.००,रू ८१.६७
च्याउ(कन्य),के.जी.,रू २६०.००,रू ३००.००,रू २८०.००
च्याउ(डल्ले),के जी,रू ३५०.००,रू ४००.००,रू ३७५.००
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
कुरीलो,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००
न्यूरो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
ब्रोकाउली,के.जी.,रू ४०.००,रू ४५.००,रू ४२.५०
चुकुन्दर,के.जी.,रू ६०.००,रू ८०.००,रू ६८.००
सजिवन,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००
रातो बन्दा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
जिरीको साग,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
सेलरी,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
पार्सले,के.जी.,रू ३००.००,रू ३५०.००,रू ३२५.००
