commodity,unit,min,max,avg
गोलभेडा ठूलो(नेपाली),के.जी.,रू ६५.००,रू ७५.००,रू ७०.००
गोलभेडा ठूलो(भारतीय),केजी,रू ७०.००,रू ८०.००,रू ७५.००
गोलभेडा सानो(लोकल),के.जी.,रू ५०.००,रू ५८.००,रू ५३.३३
गोलभेडा सानो(टनेल),के जी,रू ६८.००,रू ७८.००,रू ७२.५०
गोलभेडा सानो(भारतीय),के जी,रू ५०.००,रू ६०.००,रू ५५.००
गोलभेडा सानो(तराई),के जी,रू ४२.००,रू ५२.००,रू ४७.००
आलु रातो(लाम्चो),के.जी.,रू २५.००,रू ३०.००,रू २७.५०
रातो आलु(गोलो),के जी,रू २२.००,रू २४.००,रू २३.००
प्याज सुकेको (भारतीय),के.जी.,रू ३५.००,रू ३७.००,रू ३६.००
गाजर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बन्दा(लोकल),के.जी.,रू ३०.००,रू ४०.००,रू ३३.७५
काउली स्थानिय,के.जी.,रू ३०.००,रू ५०.००,रू ३८.७५
सेतो मूला(हाइब्रीड),केजी,रू १४.००,रू २५.००,रू १८.००
भन्टा लाम्चो,के.जी.,रू ३०.००,रू ४५.००,रू ३८.७५
भन्टा डल्लो,के.जी.,रू ४५.००,रू ५५.००,रू ४८.३३
बोडी(तने),के.जी.,रू ४०.००,रू ६०.००,रू ५०.००
मकै बोडी,केजी,रू ८०.००,रू ९०.००,रू ८५.००
घिउ सिमी(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
घिउ सिमी(हाइब्रीड),केजी,रू ५०.००,रू ७०.००,रू ६०.००
भटमासकोशा,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
तितो करेला,के.जी.,रू ५०.००,रू ७०.००,रू ६०.००
लौका,के.जी.,रू ३५.००,रू ५०.००,रू ४१.२५
परवर(लोकल),के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
परवर(तराई),केजी,रू ४५.००,रू ५०.००,रू ४७.५०
चिचिण्डो,के.जी.,रू ३०.००,रू ४५.००,रू ३७.५०
घिरौला,के.जी.,रू ४०.००,रू ५०.००,रू ४३.७५
झिगूनी,के.जी.,रू ६५.००,रू ७५.००,रू ७०.००
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
फर्सी हरियो(लाम्चो),के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
हरियो फर्सी(डल्लो),केजी,रू २५.००,रू ३५.००,रू २८.३३
भिण्डी,के.जी.,रू ३५.००,रू ४५.००,रू ४०.००
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
पिंडालू,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
रायो साग,के.जी.,रू ७०.००,रू ९०.००,रू ८०.००
पालूगो साग,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
चमसूरको साग,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
तोरीको साग,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
मेथीको साग,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
