commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ७०.००,रू ८०.००,रू ७६.२५
गोलभेडा सानो(लोकल),के.जी.,रू २२.००,रू ३२.००,रू २७.००
गोलभेडा सानो(टनेल),के जी,रू ३०.००,रू ४५.००,रू ३६.२५
गोलभेडा सानो(भारतीय),के जी,रू २८.००,रू ३६.००,रू ३२.५०
गोलभेडा सानो(तराई),के जी,रू ४०.००,रू ४८.००,रू ४४.००
आलु रातो(लाम्चो),के.जी.,रू २५.००,रू २८.००,रू २६.२५
आलु रातो(भारतीय),के जी,रू २३.००,रू २५.००,रू २४.००
प्याज सुकेको (भारतीय),के.जी.,रू ४०.००,रू ४२.००,रू ४१.००
गाजर(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
गाजर(तराई),केजी,रू ३५.००,रू ४५.००,रू ४०.००
बन्दा(लोकल),के.जी.,रू ५५.००,रू ६५.००,रू ६०.००
बन्दा(तराई),केजी,रू ४०.००,रू ५०.००,रू ४५.००
बन्दा(नरिवल),केजी,रू ३८.००,रू ५०.००,रू ४४.३३
काउली स्थानिय,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
स्थानीय काउली(ज्यापु),केजी,रू ६५.००,रू ८०.००,रू ७२.५०
काउली तराई,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
मूला रातो,के.जी.,रू २५.००,रू ३५.००,रू ३०.००
मूला सेतो(लोकल),के.जी.,रू १०.००,रू १५.००,रू १२.५०
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २०.००,रू १७.५०
भन्टा लाम्चो,के.जी.,रू ४५.००,रू ५५.००,रू ४८.७५
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
मटरकोशा,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
घिउ सिमी(लोकल),के.जी.,रू १००.००,रू १२०.००,रू ११०.००
घिउ सिमी(हाइब्रीड),केजी,रू ८०.००,रू १००.००,रू ९०.००
घिउ सिमी(राजमा),केजी,रू १२०.००,रू १३०.००,रू १२५.००
तितो करेला,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००
लौका,के.जी.,रू ५५.००,रू ७०.००,रू ६०.००
परवर(तराई),केजी,रू २२०.००,रू २४०.००,रू २३०.००
फर्सी पाकेको,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
फर्सी हरियो(लाम्चो),के.जी.,रू २०.००,रू ३०.००,रू २५.००
हरियो फर्सी(डल्लो),केजी,रू २०.००,रू ३०.००,रू २५.००
सलगम,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
भिण्डी,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
बरेला,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
पिंडालू,के.जी.,रू ५०.००,रू ६५.००,रू ५७.५०
स्कूस,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
रायो साग,के.जी.,रू १५.००,रू ३०.००,रू २३.७५
पालूगो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
चमसूरको साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
मेथीको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
प्याज हरियो,के.जी.,रू ४०.००,रू ६०.००,रू ५०.००
बकूला,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
तरुल,के.जी.,रू ५०.००,रू ७०.००,रू ६०.००
च्याउ(कन्य),के.जी.,रू ७०.००,रू १००.००,रू ९०.००
च्याउ(डल्ले),के जी,रू ३००.००,रू ३५०.००,रू ३३०.००
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
ब्रोकाउली,के.जी.,रू ३०.००,रू ५०.००,रू ४०.००
चुकुन्दर,के.जी.,रू ५५.००,रू ६५.००,रू ६०.००
सजिवन,के.जी.,रू १८०.००,रू २२०.००,रू २००.००
रातो बन्दा,के.जी.,रू १००.००,रू १३०.००,रू ११५.००
जिरीको साग,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
ग्याठ कोबी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
सेलरी,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
