commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ७०.००,रू ८०.००,रू ७५.००
गोलभेडा सानो(लोकल),के.जी.,रू ३४.००,रू ४४.००,रू ३९.००
गोलभेडा सानो(भारतीय),के जी,रू ३६.००,रू ४४.००,रू ४०.००
गोलभेडा सानो(तराई),के जी,रू ४०.००,रू ४८.००,रू ४४.००
आलु रातो(लाम्चो),के.जी.,रू १८.००,रू २४.००,रू २१.००
आलु रातो(भारतीय),के जी,रू २२.००,रू २४.००,रू २३.००
प्याज सुकेको (भारतीय),के.जी.,रू ३५.००,रू ३७.००,रू ३६.००
गाजर(लोकल),के.जी.,रू ३५.००,रू ५०.००,रू ४२.५०
गाजर(तराई),केजी,रू २०.००,रू ३५.००,रू २७.५०
बन्दा(लोकल),के.जी.,रू ४५.००,रू ६०.००,रू ५२.५०
काउली स्थानिय,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
स्थानीय काउली(ज्यापु),केजी,रू ६०.००,रू ७०.००,रू ६५.००
मूला रातो,के.जी.,रू २५.००,रू ३५.००,रू ३०.००
सेतो मूला(हाइब्रीड),केजी,रू २५.००,रू ३०.००,रू २७.५०
भन्टा लाम्चो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
बोडी(तने),के.जी.,रू ९०.००,रू १००.००,रू ९५.००
मटरकोशा,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
घिउ सिमी(लोकल),के.जी.,रू ४०.००,रू ६०.००,रू ५०.००
घिउ सिमी(हाइब्रीड),केजी,रू ४०.००,रू ५०.००,रू ४५.००
घिउ सिमी(राजमा),केजी,रू १००.००,रू १२०.००,रू ११०.००
टाटे सिमी,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
भटमासकोशा,के.जी.,रू २१०.००,रू २२०.००,रू २१५.००
तितो करेला,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
लौका,के.जी.,रू १०.००,रू २०.००,रू १५.००
परवर(तराई),केजी,रू ९०.००,रू १००.००,रू ९५.००
चिचिण्डो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
घिरौला,के.जी.,रू २५.००,रू ५०.००,रू ३७.५०
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
फर्सी हरियो(लाम्चो),के.जी.,रू २०.००,रू ३०.००,रू २५.००
हरियो फर्सी(डल्लो),केजी,रू ३०.००,रू ४०.००,रू ३५.००
भिण्डी,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
बरेला,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
पिंडालू,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
स्कूस,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
रायो साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
पालूगो साग,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
चमसूरको साग,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
तोरीको साग,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
मेथीको साग,के.जी.,रू ११०.००,रू १२०.००,रू ११५.००
प्याज हरियो,के.जी.,रू ६०.००,रू ८०.००,रू ७०.००
बकूला,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
च्याउ(कन्य),के.जी.,रू १५०.००,रू १८०.००,रू १६५.००
च्याउ(डल्ले),के जी,रू ३५०.००,रू ४००.००,रू ३७५.००
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
कुरीलो,के.जी.,रू ३५०.००,रू ४५०.००,रू ४००.००
न्यूरो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
ब्रोकाउली,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
चुकुन्दर,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
सजिवन,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
कोइरालो,के.जी.,रू ३५०.००,रू ३७०.००,रू ३६०.००
रातो बन्दा,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
जिरीको साग,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
ग्याठ कोबी,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
पार्सले,के.जी.,रू २००.००,रू २२०.००,रू २१०.००
सौफको साग,के.जी.,रू १००.००,रू ११०.००,रू १०५.००
पुदीना,के.जी.,रू १२०.००,रू १५०.००,रू १३५.००
गान्टे मूला,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
इमली,के.जी.,रू १७०.००,रू १८०.००,रू १७५.००
तामा,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
तोफु,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
