commodity,unit,min,max,avg
गोलभेडा ठूलो(नेपाली),के.जी.,रू ४०.००,रू ५०.००,रू ४४.१७
गोलभेडा सानो(लोकल),के.जी.,रू १५.००,रू २०.००,रू १८.००
गोलभेडा सानो(टनेल),के जी,रू २६.००,रू ३५.००,रू ३०.६७
आलु रातो(लाम्चो),के.जी.,रू ४४.००,रू ४८.००,रू ४६.१७
रातो आलु(गोलो),के जी,रू ४२.००,रू ४७.००,रू ४४.३३
आलु रातो(मुडे),केजी,रू ४२.००,रू ४७.००,रू ४४.६७
आलु रातो(भारतीय),के जी,रू ३३.००,रू ३५.००,रू ३३.८३
प्याज सुकेको (भारतीय),के.जी.,रू ५४.००,रू ५७.००,रू ५५.१७
गाजर(लोकल),के.जी.,रू १००.००,रू १२०.००,रू ११०.००
गाजर(तराई),केजी,रू ९०.००,रू १००.००,रू ९४.१७
बन्दा(लोकल),के.जी.,रू २०.००,रू ३०.००,रू २५.००
काउली स्थानिय,के.जी.,रू ६०.००,रू ८०.००,रू ६८.३३
मूला रातो,के.जी.,रू २५.००,रू ३५.००,रू २८.७५
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २५.००,रू १८.७५
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ५०.००,रू ४४.३८
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५४.३८
बोडी(तने),के.जी.,रू ९०.००,रू ११०.००,रू १००.००
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५४.१७
घिउ सिमी(लोकल),के.जी.,रू १००.००,रू १२०.००,रू १०७.५०
घिउ सिमी(हाइब्रीड),केजी,रू ९०.००,रू १००.००,रू ९४.३८
घिउ सिमी(राजमा),केजी,रू १००.००,रू १३०.००,रू ११६.६७
टाटे सिमी,के.जी.,रू ७०.००,रू ८०.००,रू ७४.१७
भटमासकोशा,के.जी.,रू ८०.००,रू १००.००,रू ८६.६७
तितो करेला,के.जी.,रू ४०.००,रू ५०.००,रू ४४.३८
लौका,के.जी.,रू ५०.००,रू ६०.००,रू ५४.३८
परवर(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४४.१७
परवर(तराई),केजी,रू ४०.००,रू ५०.००,रू ४४.१७
चिचिण्डो,के.जी.,रू २०.००,रू ३०.००,रू २४.१७
घिरौला,के.जी.,रू ५०.००,रू ६०.००,रू ५४.१७
झिगूनी,के.जी.,रू ६०.००,रू ७०.००,रू ६३.७५
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५४.१७
हरियो फर्सी(डल्लो),केजी,रू ५०.००,रू ६०.००,रू ५३.७५
भिण्डी,के.जी.,रू ६०.००,रू ७०.००,रू ६४.१७
पिंडालू,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
स्कूस,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
रायो साग,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
पालूगो साग,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
तोरीको साग,के.जी.,रू ९०.००,रू ११०.००,रू ९७.५०
प्याज हरियो,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
च्याउ(कन्य),के.जी.,रू २३०.००,रू २६०.००,रू २४८.३३
च्याउ(डल्ले),के जी,रू ४००.००,रू ४५०.००,रू ४३०.००
राजा च्याउ,के.जी.,रू ३००.००,रू ३२०.००,रू ३०८.३३
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९२५.००
कुरीलो,के.जी.,रू ३००.००,रू ४००.००,रू ३५०.००
न्यूरो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
ब्रोकाउली,के.जी.,रू ९०.००,रू ११०.००,रू १०१.६७
चुकुन्दर,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
रातो बन्दा,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
जिरीको साग,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
सेलरी,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
पार्सले,के.जी.,रू ४००.००,रू ५००.००,रू ४५०.००
सौफको साग,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
पुदीना,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००
गान्टे मूला,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
इमली,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००
तामा,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००
तोफु,के.जी.,रू १४०.००,रू १६०.००,रू १४८.७५
गुन्दुक,के.जी.,रू ३००.००,रू ३५०.००,रू ३२५.००
स्याउ(फूजी),के जी,रू २८०.००,रू ३००.००,रू २९०.००
केरा(नेपाली),दर्जन,रू २००.००,रू ३००.००,रू २५०.००
केरा(मालभोग),दर्जन,रू १८०.००,रू २००.००,रू १९०.००
कागती,के.जी.,रू १६०.००,रू २००.००,रू १८५.००
अनार,के.जी.,रू ४५०.००,रू ५००.००,रू ४७५.००
आँप(मालदह),के.जी.,रू १६०.००,रू १८०.००,रू १७०.००
आँप(दसहरी),केजी,रू १६०.००,रू १८०.००,रू १७०.००
तरबुजा(हरियो),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
जुनार,के.जी.,रू २७०.००,रू ३००.००,रू २८५.००
भुई कटहर,प्रति गोटा,रू १८०.००,रू २००.००,रू १९०.००
काक्रो(लोकल),के.जी.,रू ५०.००,रू ७०.००,रू ५९.१७
काक्रो(हाइब्रीड),के जी,रू २०.००,रू ३०.००,रू २३.३३
काक्रो(लोकलक्रस),के.जी.,रू ५०.००,रू ७०.००,रू ५६.६७
रुख कटहर,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
नासपाती(लोकल),के.जी.,रू १००.००,रू ११०.००,रू १०५.००
मेवा(नेपाली),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
मेवा(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००
नरिवल(काँचो),के जी,रू ६०.००,रू ८०.००,रू ७०.००
नरिवल(हरियो),के जी,रू १५०.००,रू १७०.००,रू १६०.००
अदुवा,के.जी.,रू २००.००,रू २३०.००,रू २१५.००
खु्र्सानी सुकेको,के.जी.,रू ४५०.००,रू ५००.००,रू ४७५.००
खुर्सानी हरियो(लाम्चो),के जी,रू ५०.००,रू ६०.००,रू ५४.१७
खुर्सानी हरियो(बुलेट),के जी,रू ४०.००,रू ५०.००,रू ४४.१७
खुर्सानी हरियो(माछे),के जी,रू ४०.००,रू ५०.००,रू ४४.१७
खुर्सानी हरियो(अकबरे),के जी,रू १५०.००,रू २५०.००,रू १८३.३३
भेडे खु्र्सानी,के.जी.,रू ४०.००,रू ५०.००,रू ४४.१७
हरियो धनिया,के.जी.,रू १५०.००,रू २००.००,रू १७५.००
लसुन सुकेको चाइनिज,के.जी.,रू २००.००,रू २३०.००,रू २१५.००
लसुन सुकेको नेपाली,के.जी.,रू १८०.००,रू २००.००,रू १९०.७१
छ्यापी सुकेको,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
माछा सुकेको,के.जी.,रू ८००.००,"रू १,०००.००",रू ८७५.००
ताजा माछा(रहु),के जी,रू ३२०.००,रू ३४०.००,रू ३३०.००
ताजा माछा(बचुवा),के जी,रू २८०.००,रू ३००.००,रू २९०.००
ताजा माछा(छडी),के जी,रू २८०.००,रू ३००.००,रू २९०.००
