commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ८०.००,रू ९०.००,रू ८५.००
गोलभेडा सानो(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.८८
गोलभेडा सानो(भारतीय),के जी,रू ५०.००,रू ६०.००,रू ५५.००
गोलभेडा सानो(तराई),के जी,रू ५०.००,रू ६०.००,रू ५६.२५
आलु रातो(लाम्चो),के.जी.,रू २३.००,रू २८.००,रू २५.५०
रातो आलु(गोलो),के जी,रू २०.००,रू २२.००,रू २०.७५
आलु रातो(भारतीय),के जी,रू २२.००,रू २५.००,रू २३.३३
प्याज सुकेको (भारतीय),के.जी.,रू ३८.००,रू ४०.००,रू ३९.००
गाजर(लोकल),के.जी.,रू ४५.००,रू ६०.००,रू ५२.५०
बन्दा(लोकल),के.जी.,रू २५.००,रू ३५.००,रू ३०.००
काउली स्थानिय,के.जी.,रू ४०.००,रू ६०.००,रू ४९.१७
काउली तराई,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २५.००,रू २०.००
भन्टा लाम्चो,के.जी.,रू ४५.००,रू ६०.००,रू ५२.००
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७५.००,रू ६७.५०
बोडी(तने),के.जी.,रू १००.००,रू १२०.००,रू १०६.६७
मकै बोडी,केजी,रू ७०.००,रू ९५.००,रू ८२.५०
मटरकोशा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
घिउ सिमी(लोकल),के.जी.,रू ९०.००,रू ११०.००,रू १००.००
घिउ सिमी(हाइब्रीड),केजी,रू ७०.००,रू ९०.००,रू ८०.००
घिउ सिमी(राजमा),केजी,रू ८०.००,रू १००.००,रू ९०.००
भटमासकोशा,के.जी.,रू १४०.००,रू १६५.००,रू १५३.७५
तितो करेला,के.जी.,रू ५०.००,रू ७०.००,रू ६०.००
लौका,के.जी.,रू ४०.००,रू ६०.००,रू ४८.७५
परवर(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
परवर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००
चिचिण्डो,के.जी.,रू ३५.००,रू ५५.००,रू ४५.००
घिरौला,के.जी.,रू ८०.००,रू १००.००,रू ८६.००
झिगूनी,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
फर्सी हरियो(लाम्चो),के.जी.,रू ३५.००,रू ५०.००,रू ४२.५०
हरियो फर्सी(डल्लो),केजी,रू ३५.००,रू ५०.००,रू ४२.५०
भिण्डी,के.जी.,रू ६०.००,रू ८०.००,रू ६९.१७
सखरखण्ड,के.जी.,रू ७०.००,रू ७५.००,रू ७२.५०
पिंडालू,के.जी.,रू ४५.००,रू ५०.००,रू ४७.५०
स्कूस,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
रायो साग,के.जी.,रू ७०.००,रू ९०.००,रू ७७.५०
पालूगो साग,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
चमसूरको साग,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
तोरीको साग,के.जी.,रू २५.००,रू ३५.००,रू ३०.००
मेथीको साग,के.जी.,रू ५५.००,रू ८०.००,रू ६६.२५
प्याज हरियो,के.जी.,रू १००.००,रू १४०.००,रू १२०.००
च्याउ(कन्य),के.जी.,रू २२०.००,रू २६०.००,रू २३७.५०
च्याउ(डल्ले),के जी,रू ४००.००,रू ४५०.००,रू ४२७.५०
राजा च्याउ,के.जी.,रू ३००.००,रू ३२०.००,रू ३१०.००
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
कुरीलो,के.जी.,रू ३५०.००,रू ४५०.००,रू ४००.००
ब्रोकाउली,के.जी.,रू १२०.००,रू १४०.००,रू १२८.००
चुकुन्दर,के.जी.,रू ५५.००,रू ६५.००,रू ६०.००
सजिवन,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
रातो बन्दा,के.जी.,रू ४०.००,रू ६०.००,रू ५०.००
जिरीको साग,के.जी.,रू १२०.००,रू १३०.००,रू १२५.००
सेलरी,के.जी.,रू ९०.००,रू ११०.००,रू १००.००
पार्सले,के.जी.,रू २२०.००,रू २६०.००,रू २४३.७५
सौफको साग,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
पुदीना,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
गान्टे मूला,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
इमली,के.जी.,रू १७०.००,रू १८०.००,रू १७५.००
तामा,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
तोफु,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
