commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ६०.००,रू ७०.००,रू ६५.००
गोलभेडा सानो(लोकल),के.जी.,रू २०.००,रू ३०.००,रू २५.००
गोलभेडा सानो(भारतीय),के जी,रू २५.००,रू ३५.००,रू ३०.००
गोलभेडा सानो(तराई),के जी,रू ३०.००,रू ३६.००,रू ३३.२५
आलु रातो(लाम्चो),के.जी.,रू १६.००,रू २१.००,रू १८.७५
आलु रातो(भारतीय),के जी,रू २०.००,रू २३.००,रू २१.५०
प्याज सुकेको (भारतीय),के.जी.,रू ३५.००,रू ३७.००,रू ३६.००
गाजर(लोकल),के.जी.,रू २५.००,रू ३५.००,रू ३०.००
गाजर(तराई),केजी,रू २०.००,रू ३०.००,रू २५.००
बन्दा(लोकल),के.जी.,रू २५.००,रू ३५.००,रू २९.२०
बन्दा(नरिवल),केजी,रू १५.००,रू २५.००,रू २०.००
काउली स्थानिय,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
स्थानीय काउली(ज्यापु),केजी,रू ७०.००,रू ८०.००,रू ७५.००
काउली तराई,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
मूला सेतो(लोकल),के.जी.,रू १५.००,रू २०.००,रू १७.५०
सेतो मूला(हाइब्रीड),केजी,रू २०.००,रू ३०.००,रू २५.००
भन्टा लाम्चो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
भन्टा डल्लो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
बोडी(तने),के.जी.,रू १००.००,रू १२०.००,रू ११३.००
मटरकोशा,के.जी.,रू ६०.००,रू ८०.००,रू ७०.००
घिउ सिमी(लोकल),के.जी.,रू ६०.००,रू ८०.००,रू ७१.००
घिउ सिमी(हाइब्रीड),केजी,रू ५०.००,रू ७०.००,रू ६१.२५
घिउ सिमी(राजमा),केजी,रू १००.००,रू १२०.००,रू ११०.००
टाटे सिमी,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
तितो करेला,के.जी.,रू १५०.००,रू १६०.००,रू १५३.७५
लौका,के.जी.,रू ५०.००,रू ७०.००,रू ६१.००
परवर(तराई),केजी,रू ९०.००,रू १००.००,रू ९६.२५
चिचिण्डो,के.जी.,रू ११०.००,रू १२०.००,रू ११६.२५
घिरौला,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
फर्सी पाकेको,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
फर्सी हरियो(लाम्चो),के.जी.,रू ३०.००,रू ४०.००,रू ३६.२५
हरियो फर्सी(डल्लो),केजी,रू ३०.००,रू ४०.००,रू ३६.२०
भिण्डी,के.जी.,रू ११०.००,रू १२०.००,रू ११६.६७
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
बरेला,के.जी.,रू ६०.००,रू ८०.००,रू ७२.००
पिंडालू,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
स्कूस,के.जी.,रू ५५.००,रू ६०.००,रू ५७.५०
रायो साग,के.जी.,रू ४०.००,रू ६०.००,रू ४८.००
पालूगो साग,के.जी.,रू ५०.००,रू ७०.००,रू ६२.००
चमसूरको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
तोरीको साग,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
मेथीको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
प्याज हरियो,के.जी.,रू ७०.००,रू ९०.००,रू ७८.७५
बकूला,के.जी.,रू ३५.००,रू ४५.००,रू ४०.००
तरुल,के.जी.,रू ६०.००,रू ७५.००,रू ६८.००
च्याउ(कन्य),के.जी.,रू १४०.००,रू १६०.००,रू १५२.५०
च्याउ(डल्ले),के जी,रू ३२०.००,रू ३५०.००,रू ३३४.००
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
कुरीलो,के.जी.,रू ३५०.००,रू ४००.००,रू ३६२.५०
न्यूरो,के.जी.,रू ७०.००,रू ८०.००,रू ७६.००
ब्रोकाउली,के.जी.,रू ६०.००,रू ८०.००,रू ७३.००
चुकुन्दर,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
सजिवन,के.जी.,रू १००.००,रू १२०.००,रू ११२.५०
कोइरालो,के.जी.,रू २४०.००,रू २६०.००,रू २५२.५०
रातो बन्दा,के.जी.,रू ३५.००,रू ४५.००,रू ४०.००
जिरीको साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
ग्याठ कोबी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
सेलरी,के.जी.,रू १००.००,रू १२०.००,रू ११२.५०
पार्सले,के.जी.,रू १५०.००,रू २००.००,रू १७६.६७
सौफको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
पुदीना,के.जी.,रू ११०.००,रू १३०.००,रू १२२.५०
गान्टे मूला,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
इमली,के.जी.,रू १७०.००,रू १८०.००,रू १७५.००
तामा,के.जी.,रू ११०.००,रू १३०.००,रू १२०.००
तोफु,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
गुन्दुक,के.जी.,रू २५०.००,रू २८०.००,रू २६५.००
स्याउ(झोले),के.जी.,रू २००.००,रू २५०.००,रू २२६.६७
स्याउ(फूजी),के जी,रू २५०.००,रू ३००.००,रू २७५.००
केरा(नेपाली),दर्जन,रू २००.००,रू २२०.००,रू २१०.००
कागती,के.जी.,रू २१०.००,रू २३०.००,रू २२२.५०
अनार,के.जी.,रू ३२०.००,रू ३५०.००,रू ३४०.००
अंगुर(हरियो),के.जी.,रू २००.००,रू २२०.००,रू २१०.००
अंगुर(कालो),केजी,रू ३३०.००,रू ३५०.००,रू ३४२.५०
सुन्तला(भारतीय),केजी,रू १३०.००,रू १५०.००,रू १४०.००
तरबुजा(हरियो),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
भुई कटहर,प्रति गोटा,रू १५०.००,रू १७०.००,रू १५९.००
काक्रो(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४६.६०
काक्रो(हाइब्रीड),के जी,रू २०.००,रू ३०.००,रू २५.००
काक्रो(लोकलक्रस),के.जी.,रू ३०.००,रू ४०.००,रू ३६.६०
रुख कटहर,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
निबुवा,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
नासपाती(चाइनिज),केजी,रू २२०.००,रू २५०.००,रू २३५.००
मेवा(नेपाली),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
मेवा(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००
किनु,के.जी.,रू ११०.००,रू १३०.००,रू १२०.००
स्ट्रबेरी भुईऐसेलु,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००
किवि,केजी,रू ३५०.००,रू ४००.००,रू ३८३.००
अमला,के.जी,रू १८०.००,रू १९०.००,रू १८५.००
अदुवा,के.जी.,रू ७०.००,रू ९०.००,रू ८२.५०
खु्र्सानी सुकेको,के.जी.,रू ४००.००,रू ४५०.००,रू ४१७.५०
खुर्सानी हरियो(लाम्चो),के जी,रू १००.००,रू १२०.००,रू ११२.००
खुर्सानी हरियो(बुलेट),के जी,रू ८०.००,रू १००.००,रू ९२.००
खुर्सानी हरियो(माछे),के जी,रू ९०.००,रू १००.००,रू ९५.००
खुर्सानी हरियो(अकबरे),के जी,रू ७००.००,रू ८००.००,रू ७५०.००
भेडे खु्र्सानी,के.जी.,रू १००.००,रू १२०.००,रू १०६.००
लसुन हरियो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
हरियो धनिया,के.जी.,रू ८०.००,रू १००.००,रू ९२.५०
लसुन सुकेको चाइनिज,के.जी.,रू २००.००,रू २२०.००,रू २१०.००
लसुन सुकेको नेपाली,के.जी.,रू १४०.००,रू १६०.००,रू १५२.५०
छ्यापी सुकेको,के.जी.,रू १००.००,रू १२०.००,रू ११२.५०
छ्यापी हरियो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
माछा सुकेको,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
ताजा माछा(रहु),के जी,रू ३२०.००,रू ३४०.००,रू ३३०.००
ताजा माछा(बचुवा),के जी,रू २९०.००,रू ३००.००,रू २९५.००
ताजा माछा(छडी),के जी,रू ३००.००,रू ३२०.००,रू ३०७.५०
