commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ७०.००,रू ८०.००,रू ७५.००
गोलभेडा सानो(लोकल),के.जी.,रू ३०.००,रू ३५.००,रू ३२.५०
गोलभेडा सानो(भारतीय),के जी,रू ४०.००,रू ४८.००,रू ४४.००
गोलभेडा सानो(तराई),के जी,रू ४४.००,रू ५४.००,रू ४९.००
आलु रातो(लाम्चो),के.जी.,रू २५.००,रू ३०.००,रू २७.२५
आलु रातो(भारतीय),के जी,रू २३.००,रू २६.००,रू २४.५०
प्याज सुकेको (भारतीय),के.जी.,रू ३७.००,रू ४०.००,रू ३८.५०
गाजर(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
गाजर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००
बन्दा(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बन्दा(तराई),केजी,रू ३०.००,रू ४०.००,रू ३३.७५
बन्दा(नरिवल),केजी,रू ३५.००,रू ४५.००,रू ३८.७५
काउली स्थानिय,के.जी.,रू ३५.००,रू ५०.००,रू ४२.५०
स्थानीय काउली(ज्यापु),केजी,रू ५५.००,रू ६५.००,रू ६०.००
काउली तराई,के.जी.,रू ३५.००,रू ४५.००,रू ४०.००
मूला रातो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
मूला सेतो(लोकल),के.जी.,रू १२.००,रू २०.००,रू १६.२५
सेतो मूला(हाइब्रीड),केजी,रू १८.००,रू २५.००,रू २२.००
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ६०.००,रू ५०.००
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
मटरकोशा,के.जी.,रू ६५.००,रू ८०.००,रू ७१.२५
घिउ सिमी(राजमा),केजी,रू १३०.००,रू १५०.००,रू १४०.००
टाटे सिमी,के.जी.,रू ९०.००,रू १००.००,रू ९५.००
तितो करेला,के.जी.,रू १६०.००,रू १९०.००,रू १७३.३३
लौका,के.जी.,रू ७०.००,रू ८०.००,रू ७४.२९
फर्सी पाकेको,के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
फर्सी हरियो(लाम्चो),के.जी.,रू १५.००,रू २५.००,रू २१.२५
हरियो फर्सी(डल्लो),केजी,रू २०.००,रू ३०.००,रू २५.००
सलगम,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
भिण्डी,के.जी.,रू ११०.००,रू १३०.००,रू १२२.५०
सखरखण्ड,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
बरेला,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
पिंडालू,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
स्कूस,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
रायो साग,के.जी.,रू २०.००,रू ४०.००,रू ३०.००
पालूगो साग,के.जी.,रू ४५.००,रू ६०.००,रू ५२.५०
चमसूरको साग,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
तोरीको साग,के.जी.,रू २०.००,रू ३०.००,रू २५.००
मेथीको साग,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
प्याज हरियो,के.जी.,रू ४०.००,रू ६०.००,रू ५०.००
बकूला,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
तरुल,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
च्याउ(कन्य),के.जी.,रू ७०.००,रू १००.००,रू ८५.००
च्याउ(डल्ले),के जी,रू ३३०.००,रू ३८०.००,रू ३५५.००
राजा च्याउ,के.जी.,रू २८०.००,रू ३००.००,रू २९०.००
सिताके च्याउ,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
ब्रोकाउली,के.जी.,रू ४०.००,रू ५५.००,रू ४७.५०
चुकुन्दर,के.जी.,रू ५५.००,रू ६५.००,रू ६०.००
सजिवन,के.जी.,रू २००.००,रू २२०.००,रू २१०.००
रातो बन्दा,के.जी.,रू १००.००,रू १३०.००,रू ११५.००
जिरीको साग,के.जी.,रू ६०.००,रू ८०.००,रू ७०.००
ग्याठ कोबी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
सेलरी,के.जी.,रू १८०.००,रू २००.००,रू १९०.००
पार्सले,के.जी.,रू ५००.००,रू ६००.००,रू ५५०.००
सौफको साग,के.जी.,रू ७०.००,रू ९०.००,रू ७७.५०
पुदीना,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००
गान्टे मूला,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
इमली,के.जी.,रू १७०.००,रू १८०.००,रू १७५.००
तामा,के.जी.,रू ११०.००,रू १३०.००,रू १२०.००
तोफु,के.जी.,रू १३०.००,रू १५०.००,रू १४०.००
गुन्दुक,के.जी.,रू ३२०.००,रू ३५०.००,रू ३३५.००
रुख टमाटर,केजी,रू २३०.००,रू २५०.००,रू २४०.००
स्याउ(झोले),के.जी.,रू २००.००,रू २५०.००,रू २२५.००
स्याउ(फूजी),के जी,रू २८०.००,रू ३२०.००,रू ३००.००
केरा(नेपाली),दर्जन,रू १६०.००,रू १८०.००,रू १७०.००
कागती,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
अनार,के.जी.,रू २८०.००,रू ३२०.००,रू ३००.००
अंगुर(हरियो),के.जी.,रू २२०.००,रू २५०.००,रू २३५.००
अंगुर(कालो),केजी,रू ४००.००,रू ४४०.००,रू ४२०.००
सुन्तला(नेपाली),के.जी.,रू १४०.००,रू १८०.००,रू १६०.००
तरबुजा(हरियो),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
मौसम,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
जुनार,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
भुई कटहर,प्रति गोटा,रू १४५.००,रू १५५.००,रू १५०.००
काक्रो(लोकल),के.जी.,रू १२०.००,रू १७०.००,रू १४५.७१
काक्रो(हाइब्रीड),के जी,रू ११०.००,रू १३०.००,रू १२०.००
निबुवा,के.जी.,रू ५५.००,रू ६५.००,रू ६०.००
नासपाती(चाइनिज),केजी,रू २२०.००,रू २४०.००,रू २३०.००
मेवा(नेपाली),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
मेवा(भारतीय),केजी,रू ९०.००,रू ११०.००,रू १००.००
लप्सी,के.जी.,रू ११०.००,रू १३०.००,रू १२०.००
किनु,के.जी.,रू १००.००,रू १३०.००,रू १२०.००
स्ट्रबेरी भुईऐसेलु,के.जी.,रू ४५०.००,रू ५५०.००,रू ५००.००
किवि,केजी,रू २३०.००,रू २६०.००,रू २४५.००
आभोकाडो,के.जी,रू २५०.००,रू ३५०.००,रू ३००.००
अमला,के.जी,रू ९०.००,रू १००.००,रू ९५.००
अदुवा,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
खु्र्सानी सुकेको,के.जी.,रू ३५०.००,रू ४२०.००,रू ३८५.००
खुर्सानी हरियो(लाम्चो),के जी,रू ११०.००,रू १४०.००,रू १२३.३३
खुर्सानी हरियो(बुलेट),के जी,रू ११०.००,रू १४०.००,रू १२३.३३
खुर्सानी हरियो(माछे),के जी,रू ८०.००,रू १००.००,रू ८६.६७
खुर्सानी हरियो(अकबरे),के जी,रू ४५०.००,रू ६००.००,रू ५२५.००
भेडे खु्र्सानी,के.जी.,रू ८०.००,रू १००.००,रू ९०.००
लसुन हरियो,के.जी.,रू ६०.००,रू ८०.००,रू ६७.५०
हरियो धनिया,के.जी.,रू ३०.००,रू ५०.००,रू ४०.००
लसुन सुकेको चाइनिज,के.जी.,रू २००.००,रू २२०.००,रू २१०.००
छ्यापी सुकेको,के.जी.,रू १३०.००,रू १६०.००,रू १४५.००
छ्यापी हरियो,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००
माछा सुकेको,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००
ताजा माछा(रहु),के जी,रू ३२०.००,रू ३४०.००,रू ३३०.००
ताजा माछा(बचुवा),के जी,रू २६०.००,रू २८०.००,रू २७०.००
ताजा माछा(छडी),के जी,रू २३०.००,रू २५०.००,रू २४०.००
